

🇨🇳中国港澳👉春盈,#genre#
凤凰中文频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文频道,http://117.114.153.25:8180/TV00000000000000000069@HHZT
凤凰中文频道,http://101.204.222.155:8000/udp/239.93.0.162:2192
凤凰中文频道,http://101.204.222.155:8000/udp/239.93.1.9:2192
凤凰中文频道,http://101.68.81.44:9999/rtp/233.50.200.191:5140
凤凰中文频道,http://211.94.115.194:9900/bysid/504
凤凰中文频道,http://www.lebaobei.top:6868/udp/239.255.30.50:8231
凤凰中文频道,http://www.lebaobei.top:6868/udp/239.255.30.50:8231
凤凰中文频道,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰中文频道,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰中文频道,http://146.56.153.245:20121/bysid/258

凤凰资讯频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯频道,http://117.114.153.25:8180/TV00000000000000000068@HHZT
凤凰资讯频道,http://101.204.222.155:8000/udp/239.93.0.118:2191
凤凰资讯频道,http://101.204.222.155:8000/udp/239.93.1.4:2191
凤凰资讯频道,http://101.68.81.44:9999/rtp/233.50.200.192:5140
凤凰资讯频道,http://211.94.115.194:9900/bysid/507
凤凰资讯频道,http://www.cdtriot.cn:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰资讯频道,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯频道,http://103.95.24.37:880/fhzx.m3u8
凤凰资讯频道,http://146.56.153.245:20121/bysid/257


星空卫视,http://117.114.153.25:8180/TV00000000000000000071@HHZT
星空卫视,http://101.204.222.155:8000/udp/239.93.0.156:2193
星河频道,http://117.114.153.25:8180/TV00000000000000000073@HHZT
凤凰电影,http://117.114.153.25:8180/TV00000000000000000072@HHZT
星空卫视,http://211.94.115.194:9900/bysid/508
凤凰电影,http://211.94.115.194:9900/bysid/509
無綫新聞台,http://113.92.92.12:8001/bysid/83
鳳凰香港台,http://113.92.92.12:8001/bysid/85
TVB 翡翠台,http://113.92.92.12:8000/bysid/1
TVB 明珠台,http://113.92.92.12:8001/bysid/2
TVB Plus,http://113.92.92.12:8001/bysid/82
ViuTVsix,http://113.92.92.12:8000/bysid/96
ViuTV,http://113.92.92.12:8000/bysid/99
*HOY 國際財經台,http://113.83.152.61:1935/bysid/76
*HOY TV,http://113.83.152.61:1935/bysid/77
*HOY 資訊台,http://113.83.152.61:1935/bysid/78
翡翠台,http://113.83.152.61:1936/bysid/1
ViuTVsix,http://113.83.152.61:1936/bysid/96
ViuTV,http://113.83.152.61:1936/bysid/99
TVB 翡翠台,https://histar-proxy.isus.cc/feicui
TVB 无线新闻台,https://histar-proxy.isus.cc/tvb-news
TVB PLUS,https://histar-proxy.isus.cc/tvb-plus
TVB 黄金翡翠台,https://histar-proxy.isus.cc/golden-jade
TVB 黄金华剧台,https://histar-proxy.isus.cc/golden-chinese-drama
TVB 千禧经典台,https://histar-proxy.isus.cc/tvb-classic
TVB 粤语片台,https://histar-proxy.isus.cc/tvb-yueyu
TVB 星河台,https://histar-proxy.isus.cc/tvb-xinghe
TVB 亚洲剧台,https://histar-proxy.isus.cc/tvb-asia-drama
TVB 娱乐新闻台,https://histar-proxy.isus.cc/TVB ylxw
J2,https://histar-proxy.isus.cc/j2
TVB 明珠台,https://histar-proxy.isus.cc/pearl
TVB 华语剧台,https://histar-proxy.isus.cc/tvb-drama
凤凰卫视,https://histar-proxy.isus.cc/phtv-info
凤凰卫视,https://histar-proxy.isus.cc/phtv-cn
凤凰卫视,https://histar-proxy.isus.cc/phtv-hk
HOY 资讯台,https://histar-proxy.isus.cc/hoy-info
HOY TV,https://histar-proxy.isus.cc/hoytv
HOY国际财经,https://histar-proxy.isus.cc/hoy-ibc
ViuTV,https://histar-proxy.isus.cc/viutv
天映频道,https://histar-proxy.isus.cc/celestial
天映经典,https://histar-proxy.isus.cc/cccm

香港卫视,https://histar-proxy.isus.cc/hks
澳亚卫视,https://histar-proxy.isus.cc/mastv
澳门卫视,https://histar-proxy.isus.cc/mstv
澳视澳门,https://histar-proxy.isus.cc/tdm
HKC 18台,https://histar-proxy.isus.cc/hkc18
港台电视 31,https://histar-proxy.isus.cc/rthk31
港台电视 32,https://histar-proxy.isus.cc/rthk32
Now 财经台,https://histar-proxy.isus.cc/now-finance
Now 爆谷台,https://histar-proxy.isus.cc/baogu-movies
Now 星影台,https://histar-proxy.isus.cc/now-baogu-superstars
Now 新闻台,https://histar-proxy.isus.cc/now-news
Now 直播台,https://histar-proxy.isus.cc/now-direct
Now 紫金台,https://histar-proxy.isus.cc/now-jelli
Now华剧台,https://histar-proxy.isus.cc/now-chinese-drama
HBO Now115,https://histar-proxy.isus.cc/Now-HBO
Now HBO Hits,https://histar-proxy.isus.cc/now-hbo-hits
Now HBO Family,https://histar-proxy.isus.cc/now-hbof-amily
Now HBO Signature,https://histar-proxy.isus.cc/now-hbo-signature
MovieMovie,https://histar-proxy.isus.cc/moviemovie
NowViu剧集台,https://histar-proxy.isus.cc/now-viu-drama


TVB 无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
香港凤凰频道,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
香港凤凰频道,https://epg.pw/stream/b3ab43b2415df405226d5b25f38e51432ca7d32b5a240e0aa1f3e201d181442f.m3u8
香港凤凰频道,http://116.162.6.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8
香港凤凰频道,http://146.56.153.245:20121/bysid/259
香港凤凰频道,http://hikvision.city:880/fhxgt.m3u8
TVB PLUS频道,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
TVB PLUS频道,http://php.jdshipin.com:8880/smt.php?id=j2_twn
TVB 星河频道,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB 香港武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
无线娱乐新闻,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB香港直播台,https://edge6a.v2h-cdn.com/liveshow/liveshow.stream/chunklist.m3u8
星空卫视频道,http://giwon.ddns.net:5555/udp/239.93.0.156:2193
星空卫视频道,http://giwon.ddns.net:5555/rtp/239.93.1.10:2193
星空卫视频道,http://118.114.168.57:8888/udp/239.93.0.156:2193
星空卫视频道,http://118.112.148.228:4022/rtp/239.93.0.156:2193
星空卫视频道,http://118.112.148.228:4022/rtp/239.93.1.10:2193
星空卫视频道,http://118.112.148.228:4022/udp/239.93.0.156:2193

无线星河频道,http://113.64.145.55:8081/hls/135/index.m3u8
无线星河频道,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
凤凰电影频道,http://117.114.153.25:8180/TV00000000000000000072@HHZT
星空卫视频道,http://iptv.028028.xyz:8/udp/239.93.0.156:2193
