⚡｜4K纯享,#genre#

CCTV3-4K,http://[2409:8087:2001:20:2800:0:df6e:eb21]/ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV3-4K,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV8K-超高清.2160P,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/wh7f454c46tw204565531_-2135022099/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1674373571&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
CCTV8K-超高清.2160Phttp://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CCTV8K-超高清.2160P,http://[2409:8087:2001:20:2800:0:df6e:eb03]/wh7f454c46tw3005294665_-433598957/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1668606389&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
CCTV8K-超高清.2160P,https://tv.cry33.com/ys4k.php?id=8k
 CCTV4K,https://tv.cry33.com/ys4k.php?id=4k



4k👉修复全网,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
4k👉动物全网,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
4K南国都市台,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
 

4kCCTV16频道,https://tv.cry33.com/ys4k.php?id=16-4k

4K放大镜全网,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
4K咪咕台ipv6,http://[2409:8087:1a01:df::4001]/PLTV/88888888/224/3221225655/index.m3u8
4K「时尚」台,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
4K「自然」台,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8

